titulo,institución,url_curso,id_curso,reseñas,revisores,fecha_reseñas,valoración
Forensic Accounting and Fraud Examination,West Virginia University,https://www.coursera.org/learn/forensic-accounting,forensic-accounting,"The course is interesting. It tackles different subjects though in a very superficial manner. I recommend the course if you would like to get some basic elements or principles related to forensic accounting and fraud examination. Unfortunately, examples provided in the course mostly date from the 90s, early 2000. It seems that the course has not been updated in a while. The discussion questions are interesting and could spark debates but no preparatory material is provided by the course leaders. This means that to be able to join the discussion you must have a prior detailed knowledge of the case.",By Lemaitre S,"Mar 31, 2020",1
Clinical Terminology for International and U.S. Students,University of Pittsburgh,https://www.coursera.org/learn/clinical-terminology,clinical-terminology,"I can't continue with the course because there are audio issues in the quizzes that no one bothers to solve. There are several threads on the forum about this issue, and no response or solution is given. It's a real shame, because the course contents are interesting and useful.",By Melisa,"Aug 07, 2019",1
Science of Exercise,University of Colorado Boulder,https://www.coursera.org/learn/science-exercise,science-exercise,THIS IS NOT FOR BEGINNERS! Do not take this course until you have at least an intermediate understanding of biochemistry.,By Erik L,"Jun 30, 2020",1
Digital Product Management: Modern Fundamentals,University of Virginia,https://www.coursera.org/learn/uva-darden-digital-product-management,uva-darden-digital-product-management,it was mentioned that the course is for free but later after completion they are asking for money for certificate,By Saklen I D,"Sep 02, 2019",1
Data Science Math Skills,Duke University,https://www.coursera.org/learn/datasciencemathskills,datasciencemathskills,"This course is very strong with respect to presenting the concepts you need to know for data science. It is extremely WEAK in terms explaining those concepts. If you are like me and did this kind of math back in the 70's and 80's but have not used it since, be prepared to seek sources outside Coursera in order to understand the material and pass the quizzes. The instructors leave out explanations and skip important points leaving you confused about the concept. 
Example: In the Permutations and Combinations sections, ""results"" of calculations are thrown at you with no explanation of how the instructor got the answer. 10 minutes later, totally as an aside, you get the explanation. The course is not taught in such a way that A leads to B, B leads to C, and C leads.....; instead the instructor will tell you about C, might explain A, and forget about mentioning B until the graded quiz. That is why you will need to fill in the gaps using websites like betterexplained.com or kahnacademy.com.
The student is better served by looking at the syllabus and then going to either of those sites - where the explanations are worth your time.
In addition to failing to present steps in a logical order, the course often teaches at an extremely basic level but tests at a much, much higher level. Again, to get to the higher level of understanding needed to pass ANY of the required, graded quizzes, the student will need to heavily utilize outside sources. The explanations on the practice quizzes also fail in many cases to thoroughly explain why an answer is correct.
Then there are the issues with Coursera itself, the course navigation using Chrome is quite bad. If I did not constantly monitor what part of a course I should be in versus what part of the course automatically loaded next, I often found myself taking a quiz for which no lectures had been presented. The TA's response to my complaint was flippant and WRONG. She then closed my question and I could not respond or ask for more details.If I had it to do over again I would invest my time and money somewhere else. In my opinion, Coursera should rescind the instructors' rights to charge for this course until the instructors improve and meet higher teaching standards.",By Robyn J,"Feb 08, 2017",1
Structuring Machine Learning Projects,DeepLearning.AI,https://www.coursera.org/learn/machine-learning-projects,machine-learning-projects,"This course presented repeated some of the material from previous courses, had limited challenging material and no programming.  It was much too easy for anyone who had already completed the first two courses and it should not have been a standalone course but rather could easily have been part of another course.",By Howard F,"Oct 29, 2017",1
An Introduction to American Law,University of Pennsylvania,https://www.coursera.org/learn/american-law,american-law,"I dropped this after the first week when the professor blatantly misrepresented the law on product liability with respect to firearms.  I want to learn about the law, I don't need to be indoctrinated.  Unfortunately Professor Allen is being turned loose on an unsuspecting student body and that is too bad.",By Kenneth L,"Jan 13, 2018",1
The Strategy of Content Marketing,"University of California, Davis",https://www.coursera.org/learn/content-marketing,content-marketing,"This course is very poorly designed IMO. Most of the important content - that is creating empathy maps etc, are taught by audio podcasts without any visual element. The videos only show Sarah giving intros and that's not helpful at all. There's a whole load of stuff to be read as well. The android app doesn't show the podcasts, which are the most important bits. Even after I got them downloaded with great difficulty, I was not able to do my assignment because I didn't understand how to create an empathy map. That was taught without giving an example. Just a template to be downloaded and  we are left to google and find the answers. Why did we sign up for this course at all? I have left midway. ",By Usha R,"Mar 20, 2018",1
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,introduction-cybersecurity-cyber-attacks,"This is bad.This is objectively bad.The quality of the slides? Bad. The audio quality of the presenters? Bad. The presentation itself? Bad.Bad. All. Around. I expected a LOT more from IBM. If you're going to build a course in English.. use primary English speakers. If you're going to build a MOOC module? Build it. Don't slap prerecorded training from internal crap into a module and push it out.The speakers gender has absolutely nothing to do with this course, nor should it hold any weight or impact. Knocking and police sirens? Really??No. Just no.",By Justin S,"Sep 05, 2019",1
The Data Scientist’s Toolbox,Johns Hopkins University,https://www.coursera.org/learn/data-scientists-tools,data-scientists-tools,"!!!STOP DON'T TAKE THIS COURSE!!!%100 pure advertising. There is a moment I felt like I learned some thing, but rest of the course I played with x2.0, of there was more I would have get it. Putting this into Specialization requirements is smart from your perspective, you are basically saying if you want to reach Capstone pay me $50 more, but at least fix the typos you made during video, just a little respect to your subscribers. But right now, I highly doubt that Capstone Project will be something serious that I want to mention in my Linkedn. There is also downside of what you do. But since you are in between the top rated courses either nobody uses Coursera anymore or people are silent enough and patient enough.You are all Scientists like me, I'm also biostatistician but I would never ever post a course like this to any platform. I'd rather use Google or Facebook ads to lead people here.If somebody wise enough to get Data Science Course, he should be skillful enough to download R, click next and install it, and R has help for it, shows you step by step. GitHub is free platform, anyone who can signup for Coursera can signup for GitHub, too.I know there is no requirements for this course or specialization course, it is 0 to Scientist but seriously you are talking about R codes, arrays, loops, regression, model fit but signing up for GitHub.Your target group in Coursera is either Data Scientist or becoming one, so they know what the Data Scientist job posts requires. It requires coding blind folded R/Python/Java/one of C family at least 2 of them, hopefully all of them. It requires SQL, MySQL, NoSQL, any kind of SQL or database solution mankind ever used.It requires Math, Statistics, Analytics, Algebra, Finance, Economics + all kinds of computational sciencesIt requires management, social relations, advertising, psychology, anthropology + rest of the social sciences.+++++ it requires LOGIC and NON-ARTIFICIAL HUMAN INTELLIGENCEso we are trying to be that guy, no need to show installing R or GitHub, I'm sure you will do it again doing rest of the Specialization.",By Tolga T,"Nov 24, 2018",1
Animal Behaviour and Welfare,The University of Edinburgh,https://www.coursera.org/learn/animal-welfare,animal-welfare,"Too many animal mistreatment clips were shown, also some gross misstatements of biological-scientific truths and widely held facts.  Humans cannot change the genome of any living creature, DOGS are WOLVES and always will be.  We have domesticated and bred for certain personality traits and characteristics.  Done with your course. ",By Elena M,"Jan 25, 2016",1
Convolutional Neural Networks in TensorFlow,DeepLearning.AI,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,convolutional-neural-networks-tensorflow,This course significantly lacks depth. The topic is covered at a very high-level and represents only a lightweight introduction.  You will not gain any insights into the challenges that someone might face using CNNs on Tensorflow in a real-world scenario.This course does not compare to the kind of insights that you learn from the other courses taught by Andrew Ng.There are no graded programming assignments to validate what you have learned.  The exercises that are provided are very simplistic. ,By Nick A,"May 08, 2019",1
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,https://www.coursera.org/learn/positive-psychology-visionary-science,positive-psychology-visionary-science,"There is stuff to be learned here, but... The course delivery is dreadful. The lectures are extremely repetitive and you will have to sit through hours of Martin Seligman talking about which VIP he sat next to at a very important function and every other unimportant detail to get to the crux of the information. This course comes across as a sales pitch much of the time, (as do his books). A shame, as his philosophy is indeed very helpful and the strategies he suggests (when you finally get to hear them) can be life changing.",By Anna S,"Jun 29, 2018",1
Introduction to the Biology of Cancer,Johns Hopkins University,https://www.coursera.org/learn/cancer,cancer,"Not great, very basic.  The times are greatly exaggerated (quizzes said they'd take 20 minutes to complete - most took no more than 5 minutes).  Not challenging at all.  The discussion forum is a ghost town, although the course just started weeks ago, there are posts that are YEARS old that no instructor has replied to.",By Kaitlin M G,"Jul 24, 2019",1
Convolutional Neural Networks,DeepLearning.AI,https://www.coursera.org/learn/convolutional-neural-networks,convolutional-neural-networks,"Just horrible programming excercises, grader does not work, lost hours of life trying to modify random stuff only to find out that a) I need to copy paste my solution to an empty notebook, or b) that the ""correct"" value and the instructions are actually incorrect and could never get graded correctly. The content is very rough, the videos contained embarrassing outtakes for several lessons now. If you noticed Andre Ng repeat himself or the video go to black, those are not streaming glitches--those are actually in the content you are paying for. The transcripts are machine translated and contain all kinds of misheard words. If you are not fluent speaker and rely on the transcripts, you will not take away too much from the videos. All in all, the content is sort of interesting, but the delivery is horrible. Also, it is far too long, there is some random stuff that does not mesh with the rest in each week, just to make barely enough content.",By Lukas P,"Dec 12, 2017",1
Using Python to Access Web Data,University of Michigan,https://www.coursera.org/learn/python-network-data,python-network-data,"So far courses 1 and 2 have been great with excellent explanations. I have no idea why, but that all changes for this course. The explanations are lacking and I'm left super confused. I ended up passing this class, but I feel I didn't get a good grasp and would need to take another ""access web data"" like class to actually have a grasp, even a basic grasp at that. This course should be revisited with better explanations. ",By Anthony S,"Apr 01, 2018",1
Introductory Human Physiology,Duke University,https://www.coursera.org/learn/physiology,physiology,Very hard to follow. Needs to clarify more on it's work.,By Andrei H,"Mar 17, 2017",1
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,https://www.coursera.org/learn/systematic-review,systematic-review,"The audio quality of a lot of the lectures are quite bad.A number of the slides seem to be un-organised at times, with repeating information, making them confusing.While all the information seems to be presented, it feels like it could be done better with more time spent preparing and recording the videos.",By Stephen S,"Apr 05, 2016",2
Communication Strategies for a Virtual Age,University of Toronto,https://www.coursera.org/learn/communication-strategies-virtual-age,communication-strategies-virtual-age,"The course was actually fairly good and educational. However, the final assignment requires you to present your presentation to the class...of 20,000+ people. In this age of cybersecurity issues and facial recognition software, I am here to learn and demonstrate that learning, but anonymity is paramount. I don't need my face posted all over the web. I keep my social media settings private for a reason. I suggest this course learn to do the same.",By David S,"Apr 11, 2020",1
Moral Foundations of Politics,Yale University,https://www.coursera.org/learn/moral-politics,moral-politics,"I found this tedious and boring. It was to glorifying of politics. It didn't mention that most politics is plutocratic and power  does what it wants. There is absolutely nothing ""moral"" about politics!",By Jonathan G,"Dec 12, 2017",1
Étudier en France: French Intermediate course B1-B2,École Polytechnique,https://www.coursera.org/learn/etudier-en-france,etudier-en-france,"The course is already in French, even it's subtitles. I enrolled for this so that i can learn french...but it's nor providing any beginner level info. ",By Megha A,"May 06, 2020",1
Managing the Company of the Future,London Business School,https://www.coursera.org/learn/company-future-management,company-future-management,"The course is a wonderful
But the idea of a peer and the final assignment a very bad
You need to wait ... for several days and a waste of your time in order to be assessed by other people
These people may be incompetent and give you a zero for no reason
And lost your effort and your time",By YASEEN S Z,"Sep 02, 2016",1
Finance for Non-Finance Professionals,Rice University,https://www.coursera.org/learn/finance-for-non-finance,finance-for-non-finance,"Course content was very good but the certificate was a joke - not worth the money. The certificate is signed ""Signature"" and lists the professor as John Doe, and there appears to be no way to contact anyone at Coursera with complaints.",By Daniel P,"Sep 30, 2020",1
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,https://www.coursera.org/learn/site-reliability-engineering-slos,site-reliability-engineering-slos,"I was searching for RELIABILITY AND MAINTENANCE PROFESSIONAL CERTIFICATION course , but in coursera i found SRE .I thought it is the same i am searching . But it seems for IT employees not for the core sectors. . So please provide RELIABILITY AND MAINTENANCE PROFESSIONAL CERTIFICATION course. ",By UDAY K B,"Sep 18, 2020",1
Autism Spectrum Disorder,"University of California, Davis",https://www.coursera.org/learn/autism-spectrum-disorder,autism-spectrum-disorder,"By the end of the first week of the course, I was feeling that the authors are thinking about ASD as a disease that needs to be cured (as opposed to the idea of neurodiversity). The shameless promo of the MIND institute at the end of week one made me do some research on them — and what do you know, at least two of co-founders are adepts of 'vaccines cause autism' religion, which kind of explains it all. As an adult diagnosed with ASD, I find this course extremely dangerous, misleading and offensive. ",By Anna P,"Oct 18, 2018",1
Data Science Methodology,IBM,https://www.coursera.org/learn/data-science-methodology,data-science-methodology,"Nothing is discussed in details. For people know nothing about data science, many topics are not explained and they won't understand anything valuable; for people already have a background in data science, the topics are useless and too shallow.",By Jianfei Z,"Jan 20, 2019",1
Introduction to Financial Accounting,University of Pennsylvania,https://www.coursera.org/learn/wharton-accounting,wharton-accounting,"Material was not engaging, even though I love accounting. I found it an effort to watch the videos and given that I chose to do this for a general upskill I would have preferred to had enjoyed it as opposed to it becoming a chore. ",By Anna O,"Apr 10, 2020",1
Marketing in a Digital World,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/marketing-digital,marketing-digital,"I found this course to be very basic. I appreciate that Marketing requires a broad interaction, but a course designed to take 4 weeks (with 2~3 weeks of actual content) is too much. I need to learn about cost-per-click, impressions, ROI on ad spend - that sort of thing. I don't see how 3D printing is relevant to the majority of people in marketing today.  ",By Benjamin,"Sep 29, 2016",1
Wind Energy,Technical University of Denmark (DTU),https://www.coursera.org/learn/wind-energy,wind-energy,"This course is a classic case of too many cooks spoil the broth. Every week of this course has at least two different lecturers. The lecturers vary in quality from good to very poor. The average being not so good. An additional problem this overabundance of lecturers causes is that individual lecturers feel that they must tech something substantial. Unfortunately, this is not possible as an individual lecturer has around 20-30 minutes lecture time in total. This is not enough time to motivate any key points or to deliver any intuition about the topics covered. Instead the lecturers end up scrawling endless equations and the exams are about mindless algebraic manipulation of those equations.",By Usman L,"Nov 23, 2019",1
Principles of Sustainable Finance,Erasmus University Rotterdam,https://www.coursera.org/learn/sustainable-finance,sustainable-finance,Very good intro. More hands-on exercices would be nice.,By jari I,"Sep 10, 2020",3
Financial Engineering and Risk Management Part I,Columbia University,https://www.coursera.org/learn/financial-engineering-1,financial-engineering-1,"The content of the course looked promising. But then I took a first look: the instructor is reading formulas from a slide. This is missing the whole point of a online class. There is no motivation for the formulars, no context why they are important. And from a learning point of view the course is very hard to follow. No real advantage compared to reading a book on that matter.I just took the ""Economics of Money and Banking course"", which is one of the best courses I ever attended (personally in class or online). There are other great courses on Coursera. And for easy introduction to some of the concepts Khan University courses are unmatched in accessability.Too bad that this course doesn't match up to the above examples. The topics would deserve that they are presented in a way that they can be understood by a wide audience.",By Heinz S,"Aug 23, 2015",1
Introduction to Philosophy,The University of Edinburgh,https://www.coursera.org/learn/philosophy,philosophy,"I didn't find the overall content of the course very well chosen for an introduction to philosophy - since it covers so little. The title of this course should have been ""An Introduction to Just a Couple of Topics in Philosophy."" And there are so few philosophers covered. However, the biggest problem was instructor Alasdair Richmond, whose response to debate was locking threads down every time his ideological positions were challenged. He showed himself completely inept to have a debate with more than one course participant and chose to censor a variety of viewpoints he dislikes. It was particularly ironic to see an instructor exercise censorship in a Philosophy course - a domain whose objective, after all, is the pursuit of truth as well as to ask and debate the ""why"" of everything! A petty tyrant does not make a good teacher.Should I ever meet anyone interested in studying Philosophy, my first recommendation to them will be stay away from the University of Edinburgh, since there is no respect for debate, freedom of expression, or inquiry there. ",By Vera B,"Aug 21, 2015",1
Business Metrics for Data-Driven Companies,Duke University,https://www.coursera.org/learn/analytics-business-metrics,analytics-business-metrics,"This course is not about Excel or MYSQL. This is only about Probability distribution, binary classification etc. So, if you're interested in learning some Math, this is a great course for you. But certainly not for learning some basic Excel and MYSQL. I am very disappointed and have lost all my money for nothing. I did not learn what I had initially thought I will. I feel cheated, I have lost both time and money at the same time. ",By varsa l,"Jan 13, 2017",1
Python Basics,University of Michigan,https://www.coursera.org/learn/python-basics,python-basics,Can't participate in assignments unless you pay,By Roque G G,"May 16, 2019",1
Introduction to Sustainability,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/sustainability,sustainability,"Content is quite good but the assessment style is quite difficult as in very hard to complete. I think there is need to rethink about the assessment strategy where passing with 90% isn't made mandatory. Got stuck in the midst of the course, still intersted to complete but unable to move on due to hard style quiz. The quiz has further links which is unaccessible in poor networks. I hope the team will understand this issue from a view of providing knowledge with minimum harrassment.",By Mohammad I,"Apr 26, 2020",1
Positive Psychiatry and Mental Health,The University of Sydney,https://www.coursera.org/learn/positive-psychiatry,positive-psychiatry,Great content however the students who are grading the assignments don't give credit,By Linsey A,"Feb 27, 2018",1
Cryptography I,Stanford University,https://www.coursera.org/learn/crypto,crypto,Professor is very knowledgable but he is fast... Even before i can understand the first line. he is on the fourth line. i find Hard to keep up with him. I am dropping this course.,By Naresh B D,"Apr 05, 2017",1
Learning to Teach Online,UNSW Sydney (The University of New South Wales),https://www.coursera.org/learn/teach-online,teach-online,"Nur bedingt hilfreich,  wenn man im Bereich von innerbetrieblichen Trainings für Erwachsene tätig ist. ",By Sven R,"May 20, 2020",1
IT Security: Defense against the digital dark arts,Google,https://www.coursera.org/learn/it-security,it-security,"one of the most poor made courses I have ever had the displeasure of paying for. this course is BAD. and my standards for a good online course are pretty low. some of the various sins this course has to answer for are: 1. giving a definition for hardware standard, then linking to ""an external reading if you want to learn more"" and the FIRST line of that external reading directly conflicts with what the instructor just said.2. Those ""supplemental readings?"" yeah 99% of those are links to wikipedias definition of the given subject. hope you weren't actually trying to learn or something.3. A wonderful collection of the most aggravatingly non-specific multiple choice quiz questions, in which any of the given answers are true, but they're looking for a specific solution for a nonspecific problem so good luck figuring that out.4. To compliment the non-specific quiz's they offer a fine selection of non-specific directions to writing assignments. only AFTER you submit your project are you able to find out what they are actually looking for. the most extreme example of this is in the final project directions, which one of my colleagues aptly described as ""cryptic""5. Do you like technical failures? cause they do! smash your face in frustration as the labs fail to grant write permissions to the hardrive you are supposed to be working on, your interactive tests gets garbled all over the screen, (and don't tell me that's a user error, I tried that test on 3 different OS's across 2 different machines) or random ""Analyzing Background"" messages flicker on and off the instructors face.But its no big deal, there's always time for a couple political propaganda videos or google product promotionTldr: everything I hate about google, condensed into one place.",By Joseph B,"Aug 06, 2018",1
Entreprise et changement climatique,ESSEC Business School,https://www.coursera.org/learn/entreprise-changement-climatique,entreprise-changement-climatique,"Un cours avec un contenu très riche qui permet d'appréhender la théorie et comprendre les applications au sein des sociétés. Les intervenants sont excellents, je recommande vivement ce cours.",By ARYPHONE B,"Sep 30, 2020",5
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,https://www.coursera.org/learn/neuromarketing,neuromarketing,"Extremely disappointed with the course.  While the teacher's credentials were strong, the course's shortcomings far exceeded the strengths.  The visual presentation of the parts of the brain was piecemeal and failed to clearly communicate ""what was where"".  During one demonstration of plastic model of the brain, he often held the model at is sides, away from the camera.  The visuals were frequently impossible to read (fonts and images were frequently miniscule).   The audio recordings ranged from average to atrocious (e.g, Steve Genco was barely audible).  All in all, rather than a seamless whole, the course seemed like a patchwork of various materials slapped together for this audience. ",By Jerry H,"Jun 25, 2020",1
Gamification,University of Pennsylvania,https://www.coursera.org/learn/gamification,gamification,"Enjoy your $95 pay-wall at the end (*before* the end, I mean) of the section 1 quiz. The material so far was hardly insightful, and they want learners to pay for $95 of value they can't even see after only getting through mayyyybe $3 worth of value. The first two sections re-hash the same points over and over ""What is gamification? What is gamification not? for 30+ minutes and then section 2: ""What is gamification? What is gamification not?"" The course was, from the looks of it, filmed in 2008 and not update one bit since then, and therefore has a ton of outdated information, statistics, etc. They're always talking about things being ""new and emerging"" when, by now, they're from a prior decade. Gag me with a spoon. Why would I or anyone else pay $95 just to see the rest of this course when the first section or two of it is utterly incompetent except for referencing a few factoids about the concept of a game from ancient philosophers which anyone could Google to grasp the same concept of. Definitely insulted that this course is asking twice the price of game design courses and music production courses I've taken on Coursera for not even a third of the quality of content. I'd pay $25 tops for this course if the rest of it is anything like the pre-paywall portion of it. And that's the problem: how could I know? I can't see beyond the first quiz. I'll just have to assume it's all trash and move in and lament the time I wasted being led to a surprise pay-wall. Coursera, this has severely tarnished my impression of your platform. Do not let this course continue to exist in the ways I've described here any longer.",By Connor L,"May 29, 2019",1
Contabilidad para no contadores,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/contabilidad,contabilidad,"No le es Fiel a su nombre, ya que el que expone, asumen muchos conceptos contables y los maneja como si ya alguien los usara, para lo cual no necesitaría de este curso. Un ejemplo es que empieza a hablar de tipos de póliza, cuando no ha explicado qué es una póliza, por qué se compone, algun ejemplo claro, etc. Y esto mismo con cualquier concepto por muy básico como la parte de cuentas contables, no expone ejemplos claros.",By Jonathan G E,"May 19, 2017",1
Using Python to Interact with the Operating System,Google,https://www.coursera.org/learn/python-operating-system,python-operating-system,May be the worst instructor in the google,By Ankan D,"Jul 09, 2020",1
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/cs-fundamentals-1,cs-fundamentals-1,A 'not-so student friendly' course of all the courses I have done so far.  There is a big gap between the assignments and teachings. It took a lot of pain to study this,By Aman D A,"Dec 22, 2019",1
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals,gcp-big-data-ml-fundamentals,Marketing your products and not actually teaching anything.,By Abhimanyu R,"Jan 31, 2019",1
Databases and SQL for Data Science,IBM,https://www.coursera.org/learn/sql-data-science,sql-data-science,"The course teaches SQL quite well. But it doesn't teach and make practice about the connection to a database and use of sql magic. Hence, its very frustrating to understand the significance of '%sql' in a Final Assignment review. I think a lot of students are facing the same problem. Hence, it feels like- Final assignment is to check whether we can connect to the database, rather than checking our subject knowledge on SQL.",By SNEHAL B,"May 23, 2019",1
Natural Language Processing in TensorFlow,DeepLearning.AI,https://www.coursera.org/learn/natural-language-processing-tensorflow,natural-language-processing-tensorflow,Very lightweight course - not more than an hour of real content.  Extremely disappointed by this.,By Steve H,"Jun 22, 2019",1
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,https://www.coursera.org/learn/advanced-valuation-and-strategy,advanced-valuation-and-strategy,There are only men in the videos (only one woman on the background because they needed her for the man to have children). It discourages me to keep watching it. Women need representation.,By Claudia O O,"Jul 05, 2019",1
Natural Language Processing with Probabilistic Models,DeepLearning.AI,https://www.coursera.org/learn/probabilistic-models-in-nlp,probabilistic-models-in-nlp,"To lessons are shallow, exercises to repetitive.",By Gabriel T P C,"Aug 03, 2020",1
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,https://www.coursera.org/learn/vital-signs,vital-signs,"the idea of a teacher teaching a class is horrible, people come to online courses to actually learn something, and the reasons public schools usually don't work is because you have a class, full of people, the teacher addressing them, (and here absolutely unashamed and looking directly into the camera even though shes teaching a class), and explaining all the material in a very low level way. is it really that hard to say something was 'activated' and not 'exited'? this isn't a dog, or a human, its a blood vessel or an electrical charge, they don't get exited, they are at least activated by some other source. i tried to learn, i really did, but the fact that the professor got herself to look like a barbie doll for the camera and the kids, even though it is evident what her true age is, all jumping around and trying to act young and carefree, calling the kids by nicknames, cracking jokes. ma'am, this is a university, ,not community college, please, get your act together accordingly. ",By Erika k,"Jul 17, 2020",1
Understanding Research Methods,University of London,https://www.coursera.org/learn/research-methods,research-methods,it did not add any value to existing knowledge.,By Yogesh K S,"May 26, 2017",1
IBM Customer Engagement Specialist Professional Certificate,IBM,https://www.coursera.org/learn/ibm-customer-engagement-specialist,ibm-customer-engagement-specialist,"Bad, They request me just after I finish the course to pay another $50 to get the certification after I have already paid, You can check here: http://prntscr.com/ov7q03",By Adolfo J G M,"Aug 20, 2019",1
Introduction to Calculus,The University of Sydney,https://www.coursera.org/learn/introduction-to-calculus,introduction-to-calculus,Coursera woudn't let me unenroll from the course.,By Christopher N,"Oct 02, 2020",1
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,https://www.coursera.org/learn/camino-excelencia-gestion-proyectos,camino-excelencia-gestion-proyectos,"Me preocupa el poco profesionalismo de Paz Arroyo al momento de entregar los conocimientos (que son mínimos dado que lo lee todo), pero que están llenos de errores, confusiones, malas lecturas, enredos de palabras y conceptos. Considero que siendo un curso tan importante, parte de la UC, y ""pagado"", deberíamos contar con standares mínimos de calidad en los profesionales a cargo de entregar el conocimiento. No estamos hablando de una clase presencial, como para cometer estos tipos de errores...Si se corrigen esos problemas, funcionará un sistema con menores obstáculos...Favor solicito, como estudiante, que se pueda subsanar este problema, que sólo provoca dificultades a quienes estamos interesados en aprender.Saludos cordiales",By Rodrigo B B,"Feb 25, 2019",1
Introduction to HTML5,University of Michigan,https://www.coursera.org/learn/html,html,"The caliber of questions in the quizzes is quite advanced.  I would be fine with that, as the challenge of writing correct html5 is a good challenge. However much of these questions were not covered in the lectures or the required and optional reading. Learning the correct html tag syntax is not intuitive--one has to be shown examples.  If no examples have been covered, how can a quiz-taker be expected to create the proper tags?  This strikes me as bad pedagogy.  In order to answer the questions and prepare the requested page of html tags, it became necessary for a beginner such as me to research elsewhere in order to answer the questions.  In that case, I began wondering why I was taking this course, rather than just reviewing the many free html5 explanations on the Internet.  Further the very general response to the submitted page of html gives me no help when I am simply told something isn't right and I should review the lessons--again.   I expected better feedback.I found this course to be fascinating from the lecture point of view, but ""abusive"" in terms of quiz expectations.  I was going to take the CSS3 course from the series, but now I plan on looking for this education elsewhere.",By Susan R,"May 03, 2016",2
Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",https://www.coursera.org/learn/wine,wine,"
This course is not for free! You have to purchase the certificate if you want to watch course videos of the entire module 2 of week 2 and be able to continue further until week 5. This is especially disappointing since the videos you
 can watch for free stop right after the teacher encouraged you to make a
 big purchase of wine that will be needed for the module of week 2. It 
should be clear from the beginning that purchasing the certificate is 
compulsory in order to view course content beyond week 1 and half of 
week 2.

",By Kevin S,"May 05, 2020",1
Excel Skills for Business: Intermediate I,Macquarie University,https://www.coursera.org/learn/excel-intermediate-1,excel-intermediate-1,"One of the weekly assessments was broken for German users. Besides that, everything was perfect.",By Adam G,"Apr 01, 2020",1
"Programming Foundations with JavaScript, HTML and CSS",Duke University,https://www.coursera.org/learn/duke-programming-web,duke-programming-web,"This course is very inconsistent when it comes to JavaScript. Instead of giving fundamentals of the language, course instructors prefer to give you a bunch of non-standard libraries and teach you a couple of randomly selected methods which could be applied to images. All core concepts such as data types, data structures are explained very sketchy. OOP paradigm isn;t explained at all. For example, they give you a line of code which goes something like:var x = new SimpleImage(""..."");no explanation of what SimpleImage is is given neither you are taught how exactly it works. Apparently, this course relies heavily on self-learning the lib docs given on their site.All together this leads you to simply monkey-coping lecture materials into code editor without even realising how it works and what it does. This course is at best serve observatory purpose to give student just a peek at what web development is like.This course could not be used as a solid foundation fow specialization.",By Marina K,"Nov 22, 2016",1
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,https://www.coursera.org/learn/build-a-computer,build-a-computer,"I just can't recommend this course. What should have been someone explaining you all ins and outs of how to make a computer from scratch is in fact someone showing you a brief introduction of what the section we will study is about, followed by a 'we are hiding information on purpose, do it yourself!'. The professors are trying just way too hard to hide any information about how to actually do what you are supposed to do in order to not give the answer away, that they're actually teaching absolutely nothing in practice, leaving you to go through hours and hours of google and forums search, letting you completely unprepared and with no idea on how to even start doing the project. It is just absolutely frustrating.What is supposed to be: ""Hey, do you want to learn how to use our HDL language? Heres some exercises explained step by step all the ins and outs, the syntax, how to do this and that, how the chips integration works, how to actually link chips, some more examples, some more exercises, until you are comfortable enough to actually start doing the chips! Have any doubt on how to implement a specif chip? Don't worry, heres more explanation of this particular chip, followed by some more examples to get you really knowing the chip!"" What you get: ""Hey, here's our HDL language. The syntax is something like that, but we are hiding information on purpose, try it yourself. Ah, the project? You just need to implement X chip, it takes this in and outputs this output. And again, we will hide all information you might need so we don't give away the answer. Heres some documentation which will, again, hide the majority of information you might need. Good luck!""",By Helio R,"Sep 16, 2020",1
Food & Beverage Management,Università Bocconi,https://www.coursera.org/learn/food-beverage-management,food-beverage-management,Badly formulated alternatives in the multiple choice test,By Christos P,"Mar 14, 2016",1
